ID,Title,Genre,Year,Director,Actor1,Actor2,Actor3,,,,
1,Toy Story,Animation&Adventure&Comedy&Family,1995,John Lasseter,Tom Hanks,Tim Allen,Joan Cusack,,,,
2,Jumanji,Adventure&Fantasy&Comedy&Family,1995,Joe Johnston,Robin Williams,Kirsten Dunst,Bonnie Hunt,,,,
3,Grumpier Old Men,Comedy&Drama&Romance,1995,Howard Deutch,Jack Lemmon,Walter Matthau,Ann-Margret,,,,
4,Waiting to Exhale,Drama&Romance,1995,Forest Whitaker,Angela Bassett,Lela Rochon,LisaNicole Carson[,,,,
5,Father of the Bride Part II,Comedy&Drama&Family,1995,Charles Shyer,Steve Martin,Diane Keaton,Kimberly Williams-Paisley[,,,,
6,Heat,Crime&Drama&Thriller,1995,Michael Mann,Al Pacino,Robert De Niro,Val Kilmer,Tom Sizemore[,,,
7,Sabrina,Comedy&Drama&Romance,1995,Hart Bochner,Julia Ormond,Harrison Ford,Greg Kinnear[,,,,
8,Tom and Huck,Adventure&Comedy&Family,1995,Stephen Sommers,Mike McMillan,Jonathan Jackson,Brad Renfro[,,,,
9,Sudden Death,Action&Thriller,1995,Pierre Morel,Jean-Claude Van Damme,Roddy Piper,Natasha Henstridge[,,,,
10,GoldenEye,Action&Adventure&Spy,1995,Martin Campbell,Pierce Brosnan,Sean Bean, Izabella Scorupco[,,,,
11,The American President,Drama&Romance,1995,Rob Reiner,Michael Douglas,Annette Bening,Martin Sheen,,,,
12,Dracula: Dead and Loving It,Comedy&Horror,1995,Mel Brooks,Leslie Nielsen,Peter MacNicol,Harvey Korman[,,,,
13,Balto,Adventure&Animation&Family,1995,Simon Wells,Maurice LaMarche,Jim Cummings,Miranda Richardson[,,,,
14,Nixon,Biography&Drama&History,1995,Ron Howard,Frank Langella,Kevin Spacey,Powers Boothe[,,,,
15,Cutthroat Island,Adventure&Action&Fantasy&Romance,1995,Renny Harlin,Geena Davis,Matthew Modine,Frank Langella[,,,,
16,Casino,Crime&Drama,1995,Martin Scorsese,Robert De Niro,Sharon Stone,Joe Pesci[,,,,
17,Sense and Sensibility,Drama&Romance,1995,Ang Lee,Emma Thompson,Kate Winslet,Hugh Grant[,,,,
18,Four Rooms,Drama&Comedy,1995,Allison Anders,Tim Roth,Pruitt Taylor Vince,Miranda Richardson[,,,,
19,Ace Ventura: When Nature Calls,Comedy&Adventure&Family,1995,Jim Carrey,Courteney Cox,Sean Young,Bin Shimada[,,,,
20,Money Train,Action&Comedy,1995,Joseph Ruben,Wesley Snipes,Woody Harrelson,Jennifer Lopez[,,,,
21,Get Shorty,Comedy&Crime&Drama,1995,Barry Sonnenfeld,John Travolta,Gene Hackman,Rene Russo[,,,,
22,Copycat,Crime&Drama&Mystery,1995,John Amiel,Sigourney Weaver,Holly Hunter,Harry Connick Jr.[,,,,
23,Assassins,Action&Adventure&Crime&Thriller,1995,J.F. Lawton, Sylvester Stallone,Antonio Banderas,Julianne Moore[,,,,
24,Powder,Drama&Fantasy&Romance,1995,Victor Salva,Sean Patrick Flanery,Jeff Goldblum,Mary Steenburgen[,,,,
25,Leaving Las Vegas,Drama&Romance,1995,Mike Figgis,Nicolas Cage,Elisabeth Shue,Julian Sands[,,,,
26,Othello,Drama&Romance,1995,Oliver Parker,Laurence Fishburne,Irène Jacob,Kenneth Branagh[,,,,
27,Now and Then,Drama&Romance&Coming-of-age,1995,Lisa Cholodenko,Christina Ricci,Julianne Moore,Melanie Griffith[,,,,
28,Persuasion,Romance&Drama,1995,Anthony Minghella,Amanda Root,Ciarán Hinds,Sophie Thompsett[,,,,
29,The City of Lost Children,Drama&Fantasy&Horror&Mystery,1995,Jean-Pierre Jeunet,Ron Perlman,Judith Vittet,Daniel Brühl[,,,,
30,Shanghai Triad (Yao a yao yao dao waipo qiao),Drama&History,1995,Zhang Yimou,Gong Li,Jiang Wen,Liu Ye[,,,,
31,Dangerous Minds,Drama&Crime&Thriller,1995,Luis Guzmán,Jamie Foxx,Lawrence Fishburne,Angela Bassett[,,,,
32,Twelve Monkeys,Science Fiction&Thriller,1995,Terry Gilliam,Bruce Willis,Kathryn Bigelow,Madonna[,,,,
33,Wings of Courage,Drama&Historical&War,1995,Ridley Scott,Matthew Modine,Arnold Vosloo,Zoë Wanamaker[,,,,
34,Babe,Animation&Drama&Family,1995,Chris Noonan,James Cromwell,Miriam Margolyes,Danny Mann[,,,,
35,Carrington,Drama&Biography,1995,David Beames,Emma Thompson,Steven Waddington,Jonathan Pryce[,,,,
36,Dead Man Walking,Drama&Crime,1995,Tim Robbins,Susan Sarandon,Sean Penn,Robert Prosky[,,,,
37,Across the Sea of Time,Drama&Romance,1995,Florence Paterson,Richard Chamberlain,Olivia de Havilland,John Gielgud[,,,,
38,It Takes Two,Comedy&Romance,1995,Andy Tennant,Mary-Kate Olsen,Ashley Olsen,Steve Guttenberg[,,,,
39,Clueless,Comedy&Drama&Romance,1995,Amy Heckerling,Alicia Silverstone,Stacey Dash,Brittany Murphy[,,,,
40,"Cry, the Beloved Country",Drama&History,1995,John B. Hurwitz,Idris Elba,Tony Kgoroge,Oscar Isaac[,,,,
41,Richard III,Drama&History,1995,Richard Loncraine,Ian McKellen,Annette Bening,Jim Broadbent[,,,,
42,Dead Presidents,Crime&Drama,1995,Hugh Hudson,Larry Fishburne,"Curtis ""50 Cent"" Jackson",Angela Bassett[,,,,
43,Restoration,Drama&History&Romance,1995,Michael Hoffman,Robert Downey Jr,Sam Neill,Polly Walker[,,,,
44,Mortal Kombat,Action&Adventure&Fantasy&Horror,1995,Paul W.S. Anderson,Brendan Fletcher,Linden Ashby,Talisa Soto[,,,,
45,To Die For,Comedy&Drama&Romance,1995,Gus Van Sant,Nicole Kidman,Matt Dillon,Joaquin Phoenix[,,,,
46,How to Make an American Quilt,Drama&Romance,1995,Jill Gordon,Winona Ryder,Ellen Burstyn,Anne Bancroft[,,,,
47,Seven (Se7en),Crime&Drama&Mystery&Thiller,1995,David Fincher,Brad Pitt,Morgan Freeman,Gwyneth Paltrow[,,,,
48,Pocahontas,Animation&Adventure&Drama&Family,1995,Mike Gabriel,Irene Bedard,Mel Gibson,Lily Collins,,,,
49,When Night Is Falling,Drama&Romance,1995,Patricia Rozema,null,null,null[,,,,
